Date,season,interest_rate,permit_count_total,permit_count_house,permit_hh,population,household,hp,Sentiment
2014-10-01,96,0.387,80,53,2350,2700016.6666666665,1037218.3333333334,294.26,0.01464897036173468
2015-01-01,97,0.38733333333333336,76,48,1680,2705068,1038403.6666666666,302.06,0.01151203192271403
2015-04-01,98,0.387,58,35,1190,2705966.6666666665,1040777.3333333334,289.6,0.016120652882340637
2015-07-01,99,0.358,70,43,1169,2701710,1042193,286.22,0.01416200413279644
2015-10-01,100,0.29233333333333333,71,39,2143,2703044.3333333335,1043726.3333333334,273.98,0.014685997891210258
2016-01-01,101,0.21200000000000002,63,36,944,2704626.3333333335,1043959.3333333334,271.36,0.008215368175731642
2016-04-01,102,0.201,36,21,494,2703228,1044824.6666666666,276.76,0.013309076384058729
2016-07-01,103,0.18,59,34,2459,2698850.6666666665,1045872.3333333334,269.52,0.007337649471063097
2016-10-01,104,0.17833333333333332,49,25,1196,2695891.6666666665,1046934.6666666666,270.97,0.009777953524878301
2017-01-01,105,0.1753333333333333,49,31,1586,2694293,1047641.3333333334,274.44,0.012558542003542787
2017-04-01,106,0.17666666666666667,55,29,737,2690925.3333333335,1048916.6666666667,273.97,0.015113054751797125
2017-07-01,107,0.18266666666666667,53,34,1709,2685241.3333333335,1050045,271.57,0.016768677035184733
2017-10-01,108,0.179,56,31,1751,2683260,1050619,267.73,0.020088293190677065
2018-01-01,109,0.18033333333333332,62,34,3388,2681438,1051660.3333333333,276.3,0.022596641975647584
2018-04-01,110,0.18733333333333332,51,37,2629,2677058.3333333335,1053080,275.93,0.021288556784459334
2018-07-01,111,0.18133333333333332,55,42,2094,2671931.3333333335,1055365.6666666667,278.04,0.015032777222350142
2018-10-01,112,0.18166666666666667,58,34,2450,2669360,1056259,279.76,0.01927143064237992
2019-01-01,113,0.179,43,25,1769,2665105.3333333335,1056634.6666666667,280.45,0.026147986598459367
2019-04-01,114,0.193,59,40,3658,2659194.6666666665,1058191.6666666667,284.13,0.026015955044374994
2019-07-01,115,0.18066666666666667,59,42,2665,2650442,1059691.6666666667,281.66,0.022124579478347697
2019-10-01,116,0.17666666666666667,71,42,3745,2645512.6666666665,1061050.6666666667,281.12,0.02452735354341603
2020-01-01,117,0.16733333333333333,70,50,2985,2639082.3333333335,1060052,280.18,0.022619215573143517
2020-04-01,118,0.08,53,32,1729,2627203.6666666665,1059963.6666666667,287.43,0.02872850085151174
2020-07-01,119,0.08233333333333334,77,44,1953,2615480.3333333335,1061458.6666666667,298.58,0.031022051300428358
2020-10-01,120,0.082,20,13,478,2608332,1061934,NA,0.026983343149402757
